650000  新疆维吾尔自治区	1
652827000000	和静县	3
652827100000	和静镇	4
652827101000	巴伦台镇	4
652827102000	巴润哈尔莫敦镇	4
652827103000	哈尔莫敦镇	4
652827104000	巴音布鲁克镇	4
652827105000	巩乃斯镇	4
652827106000	乃门莫敦镇	4
652827107000	协比乃尔布呼镇	4
652827203000	克尔古提乡	4
652827204000	阿拉沟乡	4
652827205000	额勒再特乌鲁乡	4
652827206000	巴音郭楞乡	4
652827400000	乌拉斯台农场	4
652827501000	兵团二十一团	4
652827502000	兵团二十二团	4
652827503000	兵团二二三团	4
652827504000	兵团农二师湖光糖厂	4
652828000000	和硕县	3
652828100000	特吾里克镇	4
652828101000	塔哈其镇	4
652828102000	曲惠镇	4
652828200000	乌什塔拉回族民族乡	4
652828203000	苏哈特乡	4
652828204000	乃仁克尔乡	4
652828205000	新塔热乡	4
652828400000	清水河农场	4
652828402000	和硕县马兰公安管区	4
652828504000	兵团二师二十四团	4
652829000000	博湖县	3
652829100000	博湖镇	4
652829101000	本布图镇	4
652829200000	塔温觉肯乡	4
652829202000	乌兰再格森乡	4
652829203000	才坎诺尔乡	4
652829204000	查干诺尔乡	4
652829205000	博斯腾湖乡	4
652829501000	兵团二十五团	4
652871000000	库尔勒经济技术开发区	3
652871400000	开发区乡级单位	4
652900000000	阿克苏地区	2
652901000000	阿克苏市	3
652901001000	栏杆街道	4
652901002000	英巴扎街道	4
652901003000	红桥街道	4
652901004000	新城街道	4
652901005000	南城街道	4
652901006000	柯柯牙街道	4
652901007000	多浪街道	4
652901100000	喀勒塔勒镇	4
652901101000	阿依库勒镇	4
652901200000	依干其乡	4
652901201000	拜什吐格曼乡	4
652901202000	托普鲁克乡	4
652901203000	库木巴希乡	4
652901401000	红旗坡农场	4
652901404000	实验林场	4
652901407000	纺织工业城	4
652901408000	经济技术开发区	4
652901409000	特色产业园区	4
652922000000	温宿县	3
652922100000	温宿镇	4
652922101000	吐木秀克镇	4
652922102000	克孜勒镇	4
652922103000	阿热勒镇	4
652922104000	佳木镇	4
652922105000	托甫汗镇	4
652922106000	共青团镇	4
652922107000	柯柯牙镇	4
652922200000	托乎拉乡	4
652922202000	恰格拉克乡	4
652922204000	依希来木其乡	4
652922206000	古勒阿瓦提乡	4
652922207000	博孜墩柯尔克孜族乡	4
652923000000	库车县	3
652923001000	热斯坦街道	4
652923002000	萨克萨克街道	4
652923003000	新城街道	4
652923004000	东城街道	4
652923101000	乌恰镇	4
652923102000	阿拉哈格镇	4
652923103000	齐满镇	4
652923104000	墩阔坦镇	4
652923105000	牙哈镇	4
652923106000	乌尊镇	4
652923107000	伊西哈拉镇	4
652923108000	二八台镇	4
652923201000	玉奇吾斯塘乡	4
652923202000	比西巴格乡	4
652923203000	哈尼喀塔木乡	4
652923204000	阿克吾斯塘乡	4
652923205000	阿格乡	4
652923206000	塔里木乡	4
652923500000	库车经济技术开发区	4
652924000000	沙雅县	3
652924100000	沙雅镇	4
652924101000	托依堡勒迪镇	4
652924102000	红旗镇	4
652924103000	英买力镇	4
652924104000	沙雅县哈德墩镇	4
652924105000	古勒巴格镇	4
652924106000	海楼镇	4
652924205000	努尔巴格乡	4
652924206000	塔里木乡	4
652924207000	盖孜库木乡	4
652924208000	央塔克协海尔乡	4
652924400000	新垦农场	4
652924402000	二牧场	4
652924403000	沙雅监狱	4
652924404000	沙雅县工业集中区	4
652925000000	新和县	3
652925100000	新和镇	4
652925101000	尤鲁都斯巴格镇	4
652925102000	依其艾日克镇	4
652925103000	塔什艾日克镇	4
652925201000	排先拜巴扎乡	4
652925203000	渭干乡	4
652925204000	玉奇喀特乡	4
652925205000	塔木托格拉克乡	4
652925300000	央塔库都片区管委会乡	4
652925500000	新和县轻工业园区生活区	4
652925502000	新和县物流园区生活区	4
652925503000	新和县新材料园区生活区	4
652926000000	拜城县	3
652926100000	拜城镇	4
652926101000	铁热克镇	4
652926102000	察尔其镇	4
652926103000	赛里木镇	4
652926200000	黑英山乡	4
652926201000	克孜尔乡	4
652926203000	托克逊乡	4
652926204000	亚吐尔乡	4
652926205000	康其乡	4
652926206000	布隆乡	4
652926207000	米吉克乡	4
652926208000	温巴什乡	4
652926209000	大桥乡	4
652926210000	老虎台乡	4
652926400000	大宛其管理委员会	4
652927000000	乌什县	3
652927100000	乌什镇	4
652927101000	阿合雅镇	4
652927102000	依麻木镇	4
652927200000	阿克托海乡	4
652927201000	亚科瑞克乡	4
652927202000	阿恰塔格乡	4
652927205000	英阿瓦提乡	4
652927206000	亚曼苏柯尔克孜族乡	4
652927207000	奥特贝希乡	4
652928000000	阿瓦提县	3
652928100000	阿瓦提镇	4
652928101000	乌鲁却勒镇	4
652928102000	拜什艾日克镇	4
652928103000	塔木托格拉克镇	4
652928104000	英艾日克镇	4
652928200000	阿依巴格乡	4
652928203000	多浪乡	4
652928204000	巴格托格拉克乡	4
652928405000	阿克苏监狱	4
652929000000	柯坪县	3
652929100000	柯坪镇	4
652929101000	盖孜力克镇	4
652929102000	阿恰勒镇	4
652929201000	玉尔其乡	4
652929203000	启浪乡	4
653000000000	克孜勒苏柯尔克孜自治州	2
653001000000	阿图什市	3
653001001000	幸福路街道	4
653001002000	光明路街道	4
653001003000	新城街道	4
653001100000	上阿图什镇	4
653001200000	松他克乡	4
653001201000	阿扎克乡	4
653001202000	阿湖乡	4
653001204000	格达良乡	4
653001205000	哈拉峻乡	4
653001206000	吐古买提乡	4
653001500000	兵团农三师红旗农场	4
653022000000	阿克陶县	3
653022100000	阿克陶镇	4
653022101000	奥依塔克镇	4
653022200000	玉麦乡	4
653022201000	皮拉勒乡	4
653022202000	巴仁乡	4
653022203000	喀热开其克乡	4
653022204000	加马铁热克乡	4
653022205000	木吉乡	4
653022206000	布伦口乡	4
653022207000	克孜勒陶乡	4
653022208000	恰尔隆乡	4
653022210000	塔尔塔吉克族乡	4
653022400000	托尔塔依农场	4
653022401000	阿克达拉牧场	4
653022402000	原种场	4
653022403000	克孜勒苏柯尔克孜自治州林场	4
653022404000	苗圃	4
653023000000	阿合奇县	3
653023100000	阿合奇镇	4
653023200000	库兰萨日克乡	4
653023201000	色帕巴依乡	4
653023202000	苏木塔什乡	4
653023203000	哈拉奇乡	4
653023204000	哈拉布拉克乡	4
653024000000	乌恰县	3
653024100000	乌恰镇	4
653024101000	康苏镇	4
653024200000	乌鲁克恰提乡	4
653024201000	吾合沙鲁乡	4
653024202000	膘尔托阔依乡	4
653024203000	黑孜苇乡	4
653024204000	托云乡	4
653024205000	铁列克乡	4
653024206000	巴音库鲁提乡	4
653024207000	波斯坦铁列克乡	4
653024208000	吉根乡	4
653024501000	兵团托云牧场	4
653100000000	喀什地区	2
653101000000	喀什市	3
653101001000	恰萨街道	4
653101002000	亚瓦格街道	4
653101003000	吾斯塘博依街道	4
653101004000	库木代尔瓦扎街道	4
653101005000	西域大道街道	4
653101006000	东湖街道	4
653101007000	迎宾大道街道	4
653101008000	西公园街道	4
653101100000	乃则尔巴格镇	4
653101101000	夏马勒巴格镇	4
653101202000	多来特巴格乡	4
653101203000	浩罕乡	4
653101204000	色满乡	4
653101205000	荒地乡	4
653101206000	帕哈太克里乡	4
653101207000	伯什克然木乡	4
653101208000	阿瓦提乡	4
653101209000	英吾斯坦乡	4
653101210000	阿克喀什乡	4
653121000000	疏附县	3
653121100000	托克扎克镇	4
653121101000	兰干镇	4
653121102000	吾库萨克镇	4
653121103000	乌帕尔镇	4
653121201000	塔什米里克乡	4
653121202000	铁日木乡	4
653121203000	布拉克苏乡	4
653121204000	萨依巴格乡	4
653121205000	站敏乡	4
653121211000	木什乡	4
653121400000	县种畜场	4
653121401000	县园艺场	4
653121402000	县林场	4
653121403000	县良种场	4
653121406000	疏附广州工业城	4
653122000000	疏勒县	3
653122100000	疏勒镇	4
653122101000	罕南力克镇	4
653122102000	牙甫泉镇	4
653122200000	巴仁乡	4
653122201000	洋大曼乡	4
653122202000	亚曼牙乡	4
653122203000	巴合齐乡	4
653122204000	塔孜洪乡	4
653122205000	英尔力克乡	4
653122206000	库木西力克乡	4
653122207000	塔合其乡	4
653122208000	艾尔木东乡	4
653122209000	阿拉力乡	4
653122210000	阿拉甫乡	4
653122211000	英阿瓦提乡	4
653122400000	疏勒南疆齐鲁工业园区	4
653123000000	英吉沙县	3
653123100000	英吉沙镇	4
653123101000	乌恰镇	4
653123102000	芒辛镇	4
653123103000	萨罕镇	4
653123200000	城关乡	4
653123201000	乔勒潘乡	4
653123202000	龙甫乡	4
653123204000	色提力乡	4
653123206000	英也尔乡	4
653123207000	克孜勒乡	4
653123208000	托普鲁克乡	4
653123209000	苏盖提乡	4
653123211000	艾古斯乡	4
653123212000	依格孜也尔乡	4
653123401000	英吉沙工业园区	4
653123500000	兵团东风农场	4
653124000000	泽普县	3
653124100000	泽普镇	4
653124101000	奎依巴格镇	4
653124200000	波斯喀木乡	4
653124201000	泽普县依玛乡	4
653124202000	古勒巴格乡	4
653124203000	赛力乡	4
653124204000	依肯苏乡	4
653124205000	图呼其乡	4
653124206000	奎依巴格乡	4
653124207000	阿克塔木乡	4
653124208000	阿依库勒乡	4
653124209000	布依鲁克塔吉克族乡	4
653124210000	桐安乡	4
653124401000	泽普县良种场	4
653124403000	国营林场	4
653125000000	莎车县	3
653125001000	叶尓羌街道	4
653125002000	城中街道	4
653125003000	城东街道	4
653125004000	城西街道	4
653125005000	城北街道	4
653125100000	莎车镇	4
653125101000	恰热克镇	4
653125102000	艾力西湖镇	4
653125103000	荒地镇	4
653125104000	阿瓦提镇	4
653125105000	白什坎特镇	4
653125106000	依盖尔其镇	4
653125107000	古勒巴格镇	4
653125108000	米夏镇	4
653125109000	托木吾斯塘镇	4
653125110000	塔尕尔其镇	4
653125111000	乌达力克镇	4
653125112000	阿拉买提镇	4
653125113000	阿扎特巴格镇	4
653125201000	阿热勒乡	4
653125202000	恰尔巴格乡	4
653125204000	英吾斯塘乡	4
653125206000	阿尔斯兰巴格乡	4
653125207000	孜热甫夏提塔吉克族乡	4
653125208000	亚喀艾日克乡	4
653125209000	喀群乡	4
653125210000	霍什拉甫乡	4
653125211000	达木斯乡	4
653125213000	伊什库力乡	4
653125214000	拍克其乡	4
653125216000	阔什艾日克乡	4
653125217000	墩巴格乡	4
653125220000	巴格阿瓦提乡	4
653125221000	喀拉苏乡	4
653125401000	喀什监狱	4
653125402000	莎车县良种繁育场	4
653125403000	莎车县第一林场（国营苗圃）	4
653125404000	莎车县国营二林场	4
653125405000	莎车县园艺场	4
653125406000	莎车县蚕种场	4
653125407000	莎车县鱼苗场	4
653125408000	农科院莎车农业试验站	4
653125409000	工业园区管委会	4
653125410000	英阿瓦提管理委员会	4
653125411000	永安管理委员会	4
653125514000	兵团五十四团	4
653126000000	叶城县	3
653126100000	喀格勒克镇	4
653126101000	恰尔巴格镇	4
653126102000	乌夏巴什镇	4
653126200000	洛克乡	4
653126201000	伯西热克乡	4
653126202000	铁提乡	4
653126203000	恰萨美其特乡	4
653126204000	吐古其乡	4
653126205000	江格勒斯乡	4
653126206000	加依提勒克乡	4
653126207000	巴仁乡	4
653126208000	乌吉热克乡	4
653126209000	夏合甫乡	4
653126210000	依力克其乡	4
653126211000	依提木孔乡	4
653126212000	宗朗乡	4
653126213000	柯克亚乡	4
653126214000	西合休乡	4
653126215000	棋盘乡	4
653126216000	萨依巴格乡	4
653126402000	阿克塔什农场	4
653126403000	良种场	4
653126404000	园艺场	4
653126405000	林场	4
653126409000	叶城工业园区	4
653126500000	兵团叶城牧场	4
653127000000	麦盖提县	3
653127100000	麦盖提镇	4
653127101000	巴扎结米镇	4
653127201000	希依提墩乡	4
653127202000	央塔克乡	4
653127203000	吐曼塔勒乡	4
653127204000	尕孜库勒乡	4
653127205000	克孜勒阿瓦提乡	4
653127206000	库木库萨尔乡	4
653127207000	昂格特勒克乡	4
653127208000	库尔玛乡	4
