410000  河南省	1
410324110000	白土镇	4
410324111000	叫河镇	4
410324200000	栾川乡	4
410324203000	秋扒乡	4
410325000000	嵩县	3
410325100000	城关镇	4
410325101000	田湖镇	4
410325102000	旧县镇	4
410325103000	车村镇	4
410325104000	闫庄镇	4
410325105000	德亭镇	4
410325106000	大章镇	4
410325107000	白河镇	4
410325108000	纸房镇	4
410325109000	饭坡镇	4
410325110000	九皋镇	4
410325201000	大坪乡	4
410325202000	库区乡	4
410325203000	何村乡	4
410325209000	黄庄乡	4
410325210000	木植街乡	4
410325400000	陶村林场	4
410325401000	五马寺林场	4
410325402000	王莽寨林场	4
410326000000	汝阳县	3
410326100000	城关镇	4
410326101000	上店镇	4
410326102000	付店镇	4
410326103000	小店镇	4
410326104000	三屯镇	4
410326105000	刘店镇	4
410326106000	内埠镇	4
410326107000	陶营镇	4
410326200000	柏树乡	4
410326202000	十八盘乡	4
410326203000	靳村乡	4
410326204000	王坪乡	4
410326209000	蔡店乡	4
410326400000	大安工业园区	4
410327000000	宜阳县	3
410327100000	城关镇	4
410327102000	柳泉镇	4
410327103000	韩城镇	4
410327104000	白杨镇	4
410327105000	香鹿山镇	4
410327106000	锦屏镇	4
410327107000	三乡镇	4
410327108000	张坞镇	4
410327109000	莲庄镇	4
410327110000	赵保镇	4
410327111000	樊村镇	4
410327112000	高村镇	4
410327203000	盐镇乡	4
410327208000	花果山乡	4
410327209000	上观乡	4
410327212000	董王庄乡	4
410328000000	洛宁县	3
410328100000	城关镇	4
410328101000	王范回族镇	4
410328102000	上戈镇	4
410328103000	下峪镇	4
410328104000	河底镇	4
410328105000	兴华镇	4
410328106000	东宋镇	4
410328107000	马店镇	4
410328108000	故县镇	4
410328109000	赵村镇	4
410328110000	长水镇	4
410328111000	景阳镇	4
410328200000	城郊乡	4
410328205000	小界乡	4
410328209000	罗岭乡	4
410328213000	底张乡	4
410328216000	陈吴乡	4
410328217000	涧口乡	4
410329000000	伊川县	3
410329001000	城关街道	4
410329002000	河滨街道	4
410329101000	鸣皋镇	4
410329102000	水寨镇	4
410329103000	彭婆镇	4
410329104000	白沙镇	4
410329105000	江左镇	4
410329106000	高山镇	4
410329107000	吕店镇	4
410329108000	半坡镇	4
410329109000	酒后镇	4
410329110000	白元镇	4
410329111000	鸦岭镇	4
410329112000	葛寨镇	4
410329203000	平等乡	4
410371000000	洛阳高新技术产业开发区	3
410371001000	瀛洲街道	4
410371002000	辛店街道	4
410381000000	偃师市	3
410381001000	商城街道	4
410381002000	槐新街道	4
410381003000	首阳山街道	4
410381004000	伊洛街道	4
410381103000	翟镇镇	4
410381104000	岳滩镇	4
