130000  河北省	1
130227106000	新集镇	4
130227107000	三屯营镇	4
130227108000	滦阳镇	4
130227200000	白庙子乡	4
130227201000	上营乡	4
130227202000	汉儿庄乡	4
130227203000	渔户寨乡	4
130227204000	旧城乡	4
130227205000	尹庄乡	4
130227206000	东莲花院乡	4
130227207000	新庄子乡	4
130227450000	迁西县栗乡工业产业聚集区	4
130229000000	玉田县	3
130229001000	无终街道	4
130229100000	玉田镇	4
130229101000	亮甲店镇	4
130229102000	鸦鸿桥镇	4
130229103000	窝洛沽镇	4
130229104000	石臼窝镇	4
130229105000	虹桥镇	4
130229106000	散水头镇	4
130229107000	林南仓镇	4
130229108000	林西镇	4
130229109000	杨家板桥镇	4
130229110000	彩亭桥镇	4
130229111000	孤树镇	4
130229112000	大安镇镇	4
130229113000	唐自头镇	4
130229114000	郭家屯镇	4
130229115000	杨家套镇	4
130229201000	林头屯乡	4
130229203000	潮洛窝乡	4
130229204000	陈家铺乡	4
130229205000	郭家桥乡	4
130271000000	河北唐山芦台经济开发区	3
130271100000	芦台开发区海北镇	4
130271450000	芦台开发区新华路街道	4
130272000000	唐山市汉沽管理区	3
130272101000	汉沽管理区汉丰镇	4
130272451000	汉沽管理区兴农街道	4
130272452000	汉沽管理区振兴街道	4
130273000000	唐山高新技术产业开发区	3
130273001000	街道	4
130273101000	老庄子镇	4
130273401000	庆北办事处	4
130273402000	三女河办事处	4
130274000000	河北唐山海港经济开发区	3
130274103000	唐山海港开发区王滩镇	4
130274451000	唐山海港经济开发区街道办事处	4
130274452000	唐山湾国际旅游岛	4
130274455000	大清河	4
130281000000	遵化市	3
130281001000	华明路街道	4
130281002000	文化路街道	4
130281100000	遵化镇	4
130281101000	堡子店镇	4
130281102000	马兰峪镇	4
130281103000	平安城镇	4
130281104000	东新庄镇	4
130281105000	新店子镇	4
130281106000	党峪镇	4
130281107000	地北头镇	4
130281108000	东旧寨镇	4
130281109000	铁厂镇	4
130281110000	苏家洼镇	4
130281111000	建明镇	4
130281112000	石门镇	4
130281200000	西留村乡	4
130281201000	崔家庄乡	4
130281202000	兴旺寨乡	4
130281203000	西下营满族乡	4
130281204000	汤泉满族乡	4
130281205000	东陵满族乡	4
130281206000	刘备寨乡	4
130281207000	团瓢庄乡	4
130281208000	娘娘庄乡	4
130281209000	西三里乡	4
130281210000	侯家寨乡	4
130281211000	小厂乡	4
130283000000	迁安市	3
130283001000	永顺街道	4
130283002000	兴安街道	4
130283003000	滨河街道	4
130283004000	杨店子街道	4
130283101000	夏官营镇	4
130283102000	杨各庄镇	4
130283103000	建昌营镇	4
130283104000	赵店子镇	4
130283105000	野鸡坨镇	4
130283106000	大崔庄镇	4
130283108000	蔡园镇	4
130283109000	马兰庄镇	4
130283110000	沙河驿镇	4
130283111000	木厂口镇	4
130283200000	扣庄乡	4
130283201000	彭店子乡	4
130283202000	上射雁庄乡	4
130283203000	闫家店乡	4
130283204000	五重安乡	4
130283205000	大五里乡	4
130283206000	太平庄乡	4
130284000000	滦州市	3
130284001000	滦河街道	4
130284002000	古城街道	4
130284003000	滦城路街道	4
130284004000	响堂街道	4
130284102000	东安各庄镇	4
130284103000	雷庄镇	4
130284104000	茨榆坨镇	4
130284105000	榛子镇	4
130284106000	杨柳庄镇	4
130284107000	油榨镇	4
130284108000	古马镇	4
130284109000	小马庄镇	4
130284110000	九百户镇	4
130284111000	王店子镇	4
130300000000	秦皇岛市	2
130301000000	市辖区	3
130302000000	海港区	3
130302001000	文化路街道	4
130302002000	海滨路街道	4
130302003000	北环路街道	4
130302004000	建设大街街道	4
130302005000	河东街道	4
130302006000	西港路街道	4
130302007000	燕山大街街道	4
130302008000	港城大街街道	4
130302009000	东环路街道	4
130302010000	白塔岭街道	4
130302100000	东港镇	4
130302101000	海港镇	4
130302102000	西港镇	4
130302103000	海阳镇	4
130302104000	北港镇	4
130302105000	杜庄镇	4
130302106000	石门寨镇	4
130302107000	驻操营镇	4
130302403000	临港物流园区	4
130302404000	海港经济开发区	4
130303000000	山海关区	3
130303001000	南关街道	4
130303002000	古城街道	4
130303003000	西关街道	4
130303004000	路南街道	4
130303100000	第一关镇	4
130303101000	石河镇	4
130303102000	孟姜镇	4
130304000000	北戴河区	3
130304001000	西山街道	4
130304002000	东山街道	4
130304100000	海滨镇	4
130304101000	戴河镇	4
130304103000	牛头崖镇	4
130306000000	抚宁区	3
130306001000	骊城街道	4
130306100000	抚宁镇	4
130306101000	留守营镇	4
130306102000	榆关镇	4
130306105000	台营镇	4
130306106000	大新寨镇	4
130306200000	茶棚乡	4
130306202000	深河乡	4
130321000000	青龙满族自治县	3
130321001000	都阳路街道	4
130321100000	青龙镇	4
130321101000	祖山镇	4
130321102000	木头凳镇	4
130321103000	双山子镇	4
130321104000	马圈子镇	4
130321105000	肖营子镇	4
130321106000	大巫岚镇	4
130321107000	土门子镇	4
130321108000	八道河镇	4
130321109000	隔河头镇	4
130321110000	娄杖子镇	4
130321200000	凤凰山乡	4
130321201000	龙王庙乡	4
130321202000	三星口乡	4
130321203000	干沟乡	4
130321206000	大石岭乡	4
130321208000	官场乡	4
130321209000	茨榆山乡	4
130321210000	平方子乡	4
130321211000	安子岭乡	4
130321212000	朱杖子乡	4
130321213000	草碾乡	4
130321214000	七道河乡	4
130321217000	三拨子乡	4
130321218000	凉水河乡	4
130322000000	昌黎县	3
130322100000	昌黎镇	4
130322101000	靖安镇	4
130322102000	安山镇	4
130322103000	龙家店镇	4
130322104000	泥井镇	4
130322105000	大蒲河镇	4
130322106000	新集镇	4
130322107000	刘台庄镇	4
130322108000	茹荷镇	4
130322109000	朱各庄镇	4
130322110000	荒佃庄镇	4
130322201000	团林乡	4
130322202000	葛条港乡	4
130322203000	马坨店乡	4
130322206000	两山乡	4
130322207000	十里铺乡	4
130324000000	卢龙县	3
130324100000	卢龙镇	4
130324101000	潘庄镇	4
130324102000	燕河营镇	4
130324103000	双望镇	4
130324104000	刘田各庄镇	4
130324105000	石门镇	4
130324106000	木井镇	4
130324107000	陈官屯镇	4
130324108000	蛤泊镇	4
130324200000	下寨乡	4
130324201000	刘家营乡	4
130324203000	印庄乡	4
130324400000	河北卢龙经济开发区	4
130371000000	秦皇岛市经济技术开发区	3
130371005000	船厂路街道	4
130371011000	珠江道街道	4
130371012000	黄河道街道	4
130371013000	腾飞路街道	4
130371200000	渤海乡	4
130371400000	榆关管理区办事处	4
130371401000	牛头崖管理区办事处	4
130372000000	北戴河新区	3
130372001000	南戴河街道	4
130372400000	大蒲河管理处	4
130372401000	团林管理处	4
130372402000	留守营管理处	4
130400000000	邯郸市	2
130401000000	市辖区	3
130402000000	邯山区	3
130402001000	火磨街道	4
130402002000	陵园路街道	4
130402003000	光明路街道	4
130402004000	滏东街道	4
130402005000	罗城头街道	4
130402006000	渚河路街道	4
130402007000	浴新南街道	4
130402008000	农林路街道	4
130402009000	贸东街道	4
130402010000	贸西街道	4
130402011000	盛和路街道	4
130402101000	北张庄镇	4
130402102000	河沙镇镇	4
130402200000	马庄乡	4
130402201000	南堡乡	4
130402202000	代召乡	4
130403000000	丛台区	3
130403001000	丛台西街道	4
130403002000	联纺西街道	4
130403003000	联纺东街道	4
130403004000	光明桥街道	4
130403005000	丛台东街道	4
130403006000	四季青街道	4
130403007000	和平街道	4
130403008000	中华街道	4
130403009000	人民路街道	4
130403010000	柳林桥街道	4
130403101000	黄粱梦镇	4
130403200000	苏曹乡	4
130403205000	三陵乡	4
130403206000	南吕固乡	4
130403207000	兼庄乡	4
130404000000	复兴区	3
130404001000	胜利桥街道	4
130404002000	百家村街道	4
130404003000	铁路大院街道	4
130404004000	化林路街道	4
130404005000	庞村街道	4
130404006000	二六七二街道	4
130404007000	石化街道	4
130404100000	户村镇	4
130404200000	彭家寨乡	4
130404201000	康庄乡	4
130406000000	峰峰矿区	3
130406001000	滏阳东路街道	4
130406100000	临水镇	4
130406101000	峰峰镇	4
130406102000	新坡镇	4
130406103000	大社镇	4
130406104000	和村镇	4
130406105000	义井镇	4
130406106000	彭城镇	4
130406107000	界城镇	4
130406108000	大峪镇	4
130406200000	西固义乡	4
130407000000	肥乡区	3
130407100000	肥乡镇	4
130407101000	天台山镇	4
130407102000	辛安镇镇	4
130407103000	大寺上镇	4
130407104000	东漳堡镇	4
130407202000	毛演堡乡	4
130407203000	元固乡	4
130407204000	屯庄营乡	4
130407206000	旧店乡	4
130408000000	永年区	3
130408100000	临洺关镇	4
130408101000	大北汪镇	4
130408102000	张西堡镇	4
130408103000	广府镇	4
130408105000	永合会镇	4
130408106000	刘营镇	4
130408107000	西苏镇	4
130408108000	讲武镇	4
130408109000	东杨庄镇	4
130408201000	界河店乡	4
130408203000	刘汉乡	4
130408204000	正西乡	4
130408206000	曲陌乡	4
130408207000	辛庄堡乡	4
130408208000	小龙马乡	4
130408211000	西河庄乡	4
130408213000	西阳城乡	4
130423000000	临漳县	3
130423100000	临漳镇	4
130423101000	南东坊镇	4
130423102000	孙陶集镇	4
130423103000	柳园镇	4
130423104000	称勾集镇	4
130423105000	邺城镇	4
130423106000	章里集镇	4
130423200000	狄邱乡	4
130423201000	张村集乡	4
130423202000	西羊羔乡	4
130423204000	杜村集乡	4
130423206000	习文乡	4
130423207000	砖寨营乡	4
130423208000	柏鹤集乡	4
130424000000	成安县	3
130424100000	成安镇	4
130424101000	商城镇	4
130424102000	漳河店镇	4
130424103000	李家疃镇	4
130424104000	北乡义镇	4
130424200000	辛义乡	4
130424201000	柏寺营乡	4
130424202000	道东堡乡	4
130424204000	长巷乡	4
130425000000	大名县	3
130425100000	大名镇	4
130425101000	杨桥镇	4
130425102000	万堤镇	4
130425103000	龙王庙镇	4
130425104000	束馆镇	4
130425105000	金滩镇	4
130425106000	沙圪塔镇	4
130425107000	大街镇	4
130425108000	铺上镇	4
130425109000	孙甘店镇	4
130425201000	王村乡	4
130425203000	黄金堤乡	4
130425205000	旧治乡	4
130425206000	西未庄乡	4
130425208000	西付集乡	4
130425209000	埝头乡	4
130425210000	北峰乡	4
130425211000	张铁集乡	4
130425212000	红庙乡	4
130425213000	营镇回族乡	4
130426000000	涉县	3
130426001000	平安街道	4
130426101000	河南店镇	4
130426102000	索堡镇	4
130426103000	西戌镇	4
130426104000	井店镇	4
130426105000	更乐镇	4
130426106000	固新镇	4
130426107000	西达镇	4
130426108000	偏城镇	4
130426200000	神头乡	4
130426201000	辽城乡	4
130426202000	偏店乡	4
130426203000	龙虎乡	4
130426204000	木井乡	4
130426205000	关防乡	4
130426206000	合漳乡	4
130426207000	鹿头乡	4
130426400000	涉城镇	4
130427000000	磁县	3
130427100000	磁州镇	4
130427103000	讲武城镇	4
130427104000	岳城镇	4
130427105000	观台镇	4
130427107000	白土镇	4
130427108000	黄沙镇	4
130427200000	路村营乡	4
130427204000	时村营乡	4
130427207000	陶泉乡	4
130427208000	都党乡	4
130427209000	北贾壁乡	4
130430000000	邱县	3
130430100000	新马头镇	4
130430101000	邱城镇	4
130430102000	梁二庄镇	4
130430103000	香城固镇	4
130430104000	古城营镇	4
130430201000	南辛店乡	4
130430204000	陈村回族乡	4
130431000000	鸡泽县	3
130431100000	鸡泽镇	4
130431101000	小寨镇	4
130431102000	双塔镇	4
130431103000	曹庄镇	4
130431200000	浮图店乡	4
130431201000	吴官营乡	4
130431202000	风正乡	4
130432000000	广平县	3
130432100000	广平镇	4
130432101000	平固店镇	4
130432102000	胜营镇	4
130432103000	南阳堡镇	4
130432104000	十里铺镇	4
130432105000	南韩镇	4
130432106000	东张孟镇	4
130433000000	馆陶县	3
130433100000	馆陶镇	4
130433101000	房寨镇	4
130433102000	柴堡镇	4
130433103000	魏僧寨镇	4
130433200000	寿山寺乡	4
130433201000	王桥乡	4
130433202000	南徐村乡	4
130433203000	路桥乡	4
130434000000	魏县	3
130434100000	魏城镇	4
130434101000	德政镇	4
130434102000	北皋镇	4
130434103000	双井镇	4
130434104000	牙里镇	4
130434105000	车往镇	4
130434106000	回隆镇	4
130434107000	张二庄镇	4
130434108000	东代固镇	4
130434109000	院堡镇	4
130434110000	棘针寨镇	4
130434111000	南双庙镇	4
130434202000	沙口集乡	4
130434203000	野胡拐乡	4
130434204000	仕望集乡	4
130434205000	前大磨乡	4
130434208000	大辛庄乡	4
130434209000	大马村乡	4
130434210000	边马乡	4
130434212000	北台头乡	4
130434213000	泊口乡	4
130435000000	曲周县	3
130435100000	曲周镇	4
130435101000	安寨镇	4
130435102000	侯村镇	4
130435103000	河南疃镇	4
130435104000	第四疃镇	4
130435105000	白寨镇	4
130435200000	槐桥乡	4
130435201000	南里岳乡	4
130435203000	大河道乡	4
130435204000	依庄乡	4
130471000000	邯郸经济技术开发区	3
130471001000	开发区街道	4
130471100000	尚璧镇	4
130471101000	南沿村镇	4
130471200000	小西堡乡	4
130471201000	姚寨乡	4
130473000000	邯郸冀南新区	3
130473001000	城南街道	4
130473100000	高臾镇	4
130473101000	西光禄镇	4
130473102000	林坛镇	4
130473103000	马头镇	4
130473200000	辛庄营乡	4
130473201000	花官营乡	4
130473202000	台城乡	4
130473203000	南城乡	4
130481000000	武安市	3
130481100000	武安镇	4
130481101000	康二城镇	4
130481102000	午汲镇	4
130481103000	磁山镇	4
130481104000	伯延镇	4
130481105000	淑村镇	4
130481106000	大同镇	4
130481107000	邑城镇	4
130481108000	矿山镇	4
130481109000	贺进镇	4
130481110000	阳邑镇	4
130481111000	徘徊镇	4
130481112000	冶陶镇	4
130481200000	上团城乡	4
130481201000	北安庄乡	4
130481202000	北安乐乡	4
130481203000	西土山乡	4
130481204000	西寺庄乡	4
130481205000	活水乡	4
130481206000	石洞乡	4
130481207000	管陶乡	4
