360000  江西省	1
360726204000	重石乡	4
360726205000	长沙乡	4
360726206000	浮槎乡	4
360726207000	双芫乡	4
360726208000	塘村乡	4
360726209000	高云山乡	4
360726400000	九龙工业园	4
360727000000	龙南县	3
360727100000	龙南镇	4
360727101000	武当镇	4
360727102000	杨村镇	4
360727103000	汶龙镇	4
360727104000	程龙镇	4
360727105000	关西镇	4
360727106000	里仁镇	4
360727107000	渡江镇	4
360727108000	九连山镇	4
360727200000	桃江乡	4
360727201000	东江乡	4
360727202000	临塘乡	4
360727203000	南亨乡	4
360727204000	夹湖乡	4
360727400000	江西龙南经济技术开发区	4
360727500000	安基山林场	4
360728000000	定南县	3
360728100000	历市镇	4
360728101000	岿美山镇	4
360728102000	老城镇	4
360728103000	天九镇	4
360728104000	龙塘镇	4
360728105000	岭北镇	4
360728106000	鹅公镇	4
360728400000	定南县工业园	4
360729000000	全南县	3
360729100000	城厢镇	4
360729101000	大吉山镇	4
360729102000	陂头镇	4
360729103000	金龙镇	4
360729104000	南迳镇	4
360729105000	龙源坝镇	4
360729200000	中寨乡	4
360729201000	社迳乡	4
360729202000	龙下乡	4
360729402000	全南县工业园	4
360730000000	宁都县	3
360730100000	梅江镇	4
360730101000	青塘镇	4
360730102000	长胜镇	4
360730103000	黄陂镇	4
360730104000	固村镇	4
360730105000	赖村镇	4
360730106000	石上镇	4
360730107000	东山坝镇	4
360730108000	洛口镇	4
360730109000	小布镇	4
360730110000	黄石镇	4
360730111000	田头镇	4
360730200000	竹笮乡	4
360730201000	对坊乡	4
360730202000	固厚乡	4
360730203000	田埠乡	4
360730204000	会同乡	4
360730205000	湛田乡	4
360730206000	安福乡	4
360730207000	东韶乡	4
360730208000	肖田乡	4
360730209000	钓峰乡	4
360730210000	大沽乡	4
360730211000	蔡江乡	4
360730400000	宁都县水东工业园	4
360731000000	于都县	3
360731100000	贡江镇	4
360731101000	铁山垅镇	4
360731102000	盘古山镇	4
360731103000	禾丰镇	4
360731104000	祁禄山镇	4
360731105000	梓山镇	4
360731106000	银坑镇	4
360731107000	岭背镇	4
360731108000	罗坳镇	4
360731200000	罗江乡	4
360731201000	小溪乡	4
360731202000	利村乡	4
360731203000	新陂乡	4
360731204000	靖石乡	4
360731205000	黄麟乡	4
360731206000	沙心乡	4
360731207000	宽田乡	4
360731208000	葛坳乡	4
360731209000	桥头乡	4
360731210000	马安乡	4
360731211000	仙下乡	4
360731212000	车溪乡	4
360731213000	段屋乡	4
360731400000	于都工业园	4
360732000000	兴国县	3
360732100000	潋江镇	4
360732101000	江背镇	4
360732102000	古龙冈镇	4
360732103000	梅窖镇	4
360732104000	高兴镇	4
360732105000	良村镇	4
360732106000	龙口镇	4
360732107000	城岗镇	4
360732200000	兴江乡	4
360732201000	樟木乡	4
360732202000	东村乡	4
360732203000	兴莲乡	4
360732204000	杰村乡	4
360732205000	社富乡	4
360732206000	埠头乡	4
360732207000	永丰乡	4
360732208000	隆坪乡	4
360732209000	均村乡	4
360732210000	茶园乡	4
360732211000	崇贤乡	4
360732212000	枫边乡	4
360732213000	南坑乡	4
360732215000	方太乡	4
360732216000	鼎龙乡	4
360732217000	长冈乡	4
360732400000	兴国县工业园	4
360733000000	会昌县	3
360733100000	文武坝镇	4
360733101000	筠门岭镇	4
360733102000	西江镇	4
360733103000	周田镇	4
360733104000	麻州镇	4
360733105000	庄口镇	4
360733200000	清溪乡	4
360733201000	右水乡	4
360733202000	高排乡	4
360733203000	晓龙乡	4
360733204000	珠兰乡	4
360733205000	洞头乡	4
360733206000	中村乡	4
360733207000	站塘乡	4
360733208000	永隆乡	4
360733209000	富城乡	4
360733210000	小密乡	4
360733211000	庄埠乡	4
360733212000	白鹅乡	4
360733400000	会昌县燕子窝工业园	4
360734000000	寻乌县	3
360734100000	长宁镇	4
360734101000	晨光镇	4
360734102000	留车镇	4
360734103000	南桥镇	4
360734104000	吉潭镇	4
360734105000	澄江镇	4
360734106000	桂竹帽镇	4
360734200000	文峰乡	4
360734201000	三标乡	4
360734202000	菖蒲乡	4
360734203000	龙廷乡	4
360734204000	丹溪乡	4
360734205000	项山乡	4
360734206000	水源乡	4
360734207000	罗珊乡	4
360735000000	石城县	3
360735100000	琴江镇	4
360735101000	小松镇	4
360735102000	屏山镇	4
360735103000	横江镇	4
360735104000	高田镇	4
360735105000	赣江源镇	4
360735200000	木兰乡	4
360735201000	丰山乡	4
360735202000	大由乡	4
360735203000	龙岗乡	4
360735204000	珠坑乡	4
360781000000	瑞金市	3
360781100000	象湖镇	4
360781101000	瑞林镇	4
360781102000	壬田镇	4
360781103000	九堡镇	4
360781104000	沙洲坝镇	4
360781105000	谢坊镇	4
360781106000	武阳镇	4
360781200000	叶坪乡	4
