220000  吉林省	1
220802200000	东风乡	4
220802201000	三合乡	4
220802202000	东胜乡	4
220802203000	金祥乡	4
220802204000	德顺蒙古族乡	4
220802402000	镇南种羊场	4
220802403000	白城牧场	4
220802404000	洮儿河农场	4
220802405000	保民农场	4
220802407000	白城市生态新区	4
220821000000	镇赉县	3
220821100000	镇赉镇	4
220821101000	坦途镇	4
220821102000	东屏镇	4
220821103000	大屯镇	4
220821104000	沿江镇	4
220821105000	五棵树镇	4
220821106000	黑鱼泡镇	4
220821200000	哈吐气蒙古族乡	4
220821201000	莫莫格蒙古族乡	4
220821202000	建平乡	4
220821203000	嘎什根乡	4
220821400000	四方坨子农场	4
220821402000	良种繁育场	4
220821403000	九龙山马场	4
220821406000	国营渔场	4
220822000000	通榆县	3
220822001000	树满街道	4
220822002000	八区街道	4
220822003000	迎新街道	4
220822100000	开通镇	4
220822101000	瞻榆镇	4
220822102000	双岗镇	4
220822103000	兴隆山镇	4
220822104000	边昭镇	4
220822105000	鸿兴镇	4
220822106000	新华镇	4
220822107000	乌兰花镇	4
220822200000	新发乡	4
220822201000	新兴乡	4
220822202000	向海蒙古族乡	4
220822203000	包拉温都蒙古族乡	4
220822204000	团结乡	4
220822205000	十花道乡	4
220822206000	八面乡	4
220822207000	苏公坨乡	4
220822400000	通榆经济开发区	4
220822401000	三家子种牛场	4
220822402000	良井子畜牧场	4
220822403000	双岗鹿场	4
220822404000	同发牧场	4
220822405000	新华牛场	4
220871000000	吉林白城经济开发区	3
220871001000	幸福街道	4
220871002000	保平街道	4
220871003000	西郊街道	4
220881000000	洮南市	3
220881001000	团结街道	4
220881002000	富文街道	4
220881003000	光明街道	4
220881004000	兴隆街道	4
220881005000	永康街道	4
220881006000	通达街道	4
220881007000	洮府街道	4
220881008000	向阳街道	4
220881100000	瓦房镇	4
220881101000	万宝镇	4
220881102000	黑水镇	4
220881103000	那金镇	4
220881104000	安定镇	4
220881105000	福顺镇	4
220881200000	胡力吐蒙古族乡	4
220881201000	万宝乡	4
220881202000	聚宝乡	4
220881203000	东升乡	4
220881204000	野马乡	4
220881205000	永茂乡	4
220881206000	蛟流河乡	4
220881207000	大通乡	4
220881209000	二龙乡	4
220881210000	呼和车力蒙古族乡	4
220881402000	市原种场	4
220882000000	大安市	3
220882001000	慧阳街道	4
220882002000	临江街道	4
220882003000	长虹街道	4
220882004000	锦华街道	4
220882005000	安北街道	4
220882100000	月亮泡镇	4
220882101000	安广镇	4
220882102000	丰收镇	4
220882103000	新平安镇	4
220882104000	两家子镇	4
220882105000	舍力镇	4
220882106000	大岗子镇	4
220882107000	叉干镇	4
220882108000	龙沼镇	4
220882109000	太山镇	4
220882200000	四棵树乡	4
220882201000	联合乡	4
220882202000	大赉乡	4
220882203000	红岗子乡	4
220882204000	海坨乡	4
220882205000	新艾里蒙古族乡	4
220882206000	烧锅镇乡	4
220882207000	乐胜乡	4
220882400000	大安经济开发区（省级）	4
220882401000	新荒渔场	4
